Site;Origin;Longitud;Latitude
Chanaral;labmicmar;-70.667222;-26.224278
Flamenco;labmicmar;-70.700000;-26.548611
Huasco;labmicmar;-71.210278;-28.336944
Punta de Choros;labmicmar;-71.497500;-29.223333
Quintero;labmicmar;-71.519083;-32.755500
Las Cruces;labmicmar;-71.624688;-33.500600
TARA_004;TARA;-6.5669;36.5533
TARA_007;TARA;1.9378;37.0510
TARA_011;TARA;2.7996;41.6686
TARA_022;TARA;17.4155;39.8386
TARA_024;TARA;17.9348;42.4552
TARA_025;TARA;19.3905;39.3888
TARA_026;TARA;20.1705;38.4761
TARA_030;TARA;32.898;33.9179
TARA_031;TARA;34.835;27.16
TARA_032;TARA;37.2183;23.36
TARA_034;TARA;39.8567;18.4417
TARA_036;TARA;63.5047;20.8183
TARA_041;TARA;69.9776;14.6059
TARA_042;TARA;73.8955;6.0001
TARA_052;TARA;53.9801;-16.9570
TARA_064;TARA;37.9889;-29.5019
TARA_065;TARA;26.2868;-35.1728
TARA_066;TARA;17.9189;-34.9449
TARA_067;TARA;17.7103;-32.2401
TARA_076;TARA;-35.1803;-20.9354
TARA_078;TARA;-43.2899;-30.1367
TARA_082;TARA;-58.2902;-47.1863
TARA_102;TARA;-85.1545;-5.2529
TARA_109;TARA;-84.5766;1.9928
OSD_002;OSD;-3.9375;48.7778
OSD_003;OSD;7.9;54.18194
OSD_014;OSD;3.14;42.49
OSD_022;OSD;23.2538;43.22639
OSD_030;OSD;23.2538;59.8822
OSD_037;OSD;-80.09315;26.10293
OSD_039;OSD;-79.89954;32.7524
OSD_049;OSD;13.33189;45.325568
OSD_054;OSD;-69.6409;43.8444
OSD_055;OSD;-69.5781;43.8604
OSD_060;OSD;-79.16763;33.32306
OSD_072;OSD;10;54.8333
OSD_076;OSD;12.395;43.9475
OSD_077;OSD;13.0731;43.8514
OSD_099;OSD;13.71003;45.70092
OSD_123;OSD;32.954;32.822
OSD_132;OSD;34.843;32.0694
OSD_141;OSD;5.11504;60.16121
OSD_143;OSD;-81.01667;31.98282
OSD_149;OSD;-54.266;-34.616
OSD_150;OSD;-54.2752;-34.666
OSD_152;OSD;-63.6403;44.6936
OSD_159;OSD;-4.552;48.359
